Descricao;Valor;Categoria
Oficina Mecânica Auto Certo;364,41;Transporte
Supermercado Compre Bem;943,94;Educação
Petshop Mundo Animal;467,38;Veículo
Supermercado Compre Bem;613,95;Educação
Livraria Cultura;110,90;Educação
Supermercado Compre Bem;157,81;Transporte
Cinema Cinemark;157,97;Educação
Livraria Cultura;364,09;Casa e Vestuário
Supermercado Compre Bem;662,05;Veículo
Academia Smart Fit;179,92;Supermercado
Supermercado Compre Bem;450,69;Supermercado
Oficina Mecânica Auto Certo;312,53;Outros
Netflix;649,58;Saúde
Netflix;750,22;Lazer
Netflix;323,44;Saúde
Salão de Beleza Bela Hair;56,27;Outros
Uber;960,69;Alimentação
iFood;971,49;Supermercado
Restaurante Sabor da Casa;985,42;Transporte
iFood;196,00;Supermercado
Posto de Gasolina Shell;122,69;Veículo
Academia Smart Fit;418,30;Veículo
Academia Smart Fit;892,46;Cuidados Pessoais
Posto de Gasolina Shell;989,24;Cuidados Pessoais
Supermercado Compre Bem;991,91;Transporte
Cinema Cinemark;500,38;Veículo
Academia Smart Fit;125,43;Educação
Oficina Mecânica Auto Certo;888,86;Educação
Salão de Beleza Bela Hair;213,42;Saúde
Restaurante Sabor da Casa;707,89;Supermercado
Salão de Beleza Bela Hair;33,63;Outros
Salão de Beleza Bela Hair;338,75;Outros
Oficina Mecânica Auto Certo;427,39;Cuidados Pessoais
Livraria Cultura;936,16;Saúde
Petshop Mundo Animal;197,52;Casa e Vestuário
Posto de Gasolina Shell;585,15;Lazer
Academia Smart Fit;93,83;Saúde
Netflix;922,97;Cuidados Pessoais
Petshop Mundo Animal;806,44;Outros
Supermercado Compre Bem;570,08;Outros
Cinema Cinemark;935,63;Cuidados Pessoais
Cinema Cinemark;60,62;Educação
Netflix;467,80;Casa e Vestuário
Loja de Roupas Renner;226,21;Casa e Vestuário
iFood;6,97;Transporte
Salão de Beleza Bela Hair;905,20;Casa e Vestuário
Cinema Cinemark;348,89;Saúde
Livraria Cultura;217,11;Saúde
Restaurante Sabor da Casa;272,35;Veículo
Farmácia Droga Raia;936,08;Supermercado
iFood;937,55;Veículo
Academia Smart Fit;853,42;Educação
Farmácia Droga Raia;556,08;Veículo
Cinema Cinemark;626,68;Lazer
Uber;146,40;Supermercado
Academia Smart Fit;153,96;Lazer
Cinema Cinemark;741,30;Lazer
Netflix;629,33;Veículo
Salão de Beleza Bela Hair;229,31;Lazer
Loja de Roupas Renner;90,04;Transporte
Livraria Cultura;106,58;Cuidados Pessoais
Academia Smart Fit;197,04;Veículo
Petshop Mundo Animal;274,85;Veículo
Livraria Cultura;308,98;Educação
Livraria Cultura;862,23;Veículo
Posto de Gasolina Shell;695,43;Lazer
Academia Smart Fit;189,50;Supermercado
Academia Smart Fit;551,14;Supermercado
Loja de Roupas Renner;152,67;Lazer
Uber;106,72;Outros
Uber;238,68;Educação
Restaurante Sabor da Casa;498,12;Alimentação
Posto de Gasolina Shell;820,97;Transporte
Padaria do Zé;666,68;Veículo
Uber;201,98;Supermercado
Posto de Gasolina Shell;89,69;Alimentação
Loja de Roupas Renner;263,84;Veículo
Posto de Gasolina Shell;896,85;Lazer
Posto de Gasolina Shell;473,87;Veículo
Farmácia Droga Raia;868,12;Alimentação
Padaria do Zé;839,30;Supermercado
Academia Smart Fit;24,35;Saúde
Livraria Cultura;750,14;Educação
Padaria do Zé;953,49;Supermercado
Academia Smart Fit;875,65;Veículo
Supermercado Compre Bem;447,61;Transporte
Loja de Roupas Renner;351,09;Lazer
Loja de Roupas Renner;961,52;Outros
Farmácia Droga Raia;333,28;Alimentação
Livraria Cultura;838,77;Cuidados Pessoais
Padaria do Zé;5,88;Outros
Academia Smart Fit;450,83;Veículo
Padaria do Zé;288,30;Alimentação
Farmácia Droga Raia;768,60;Outros
Cinema Cinemark;335,07;Casa e Vestuário
Salão de Beleza Bela Hair;435,65;Saúde
Loja de Roupas Renner;298,76;Veículo
Padaria do Zé;74,74;Supermercado
Padaria do Zé;128,84;Lazer
Salão de Beleza Bela Hair;159,33;Educação
